codec,tool,input_bytes,archive_bytes,ratio,compress_seconds,decompress_seconds,compress_mib_s,decompress_mib_s,compress_repeats,decompress_repeats,verified
axiom-1,Axiom,211948032,64903214,3.265601,0.744064,0.223065,271.6560,906.1453,2,3,True
axiom-2,Axiom,211948032,59101226,3.586187,1.567429,0.234513,128.9560,861.9113,2,3,True
axiom-3,Axiom,211948032,58425128,3.627686,1.741256,0.233506,116.0825,865.6283,2,3,True
axiom-4,Axiom,211948032,56845823,3.728472,2.311594,0.244926,87.4416,825.2665,2,3,True
axiom-5,Axiom,211948032,56490262,3.751939,2.911123,0.242595,69.4335,833.1962,2,3,True
axiom-6,Axiom,211948032,56240185,3.768623,3.970961,0.242586,50.9019,833.2268,2,3,True
axiom-7,Axiom,211948032,54878780,3.862113,5.054495,0.236556,39.9900,854.4692,2,3,True
axiom-8,Axiom,211948032,52410644,4.043988,15.137118,0.252669,13.3532,799.9764,2,3,True
axiom-9,Axiom,211948032,51386593,4.124578,16.019197,0.237614,12.6179,850.6628,2,3,True
lz4-1,LZ4,211948032,100936288,2.099820,0.090018,0.088756,2245.4256,2277.3680,2,3,True
lz4-9-hc,LZ4,211948032,78001957,2.717214,0.373392,0.088359,541.3327,2287.5822,2,3,True
zstd-1,zstd,211948032,73292288,2.891819,0.073593,0.148329,2746.5957,1362.7108,2,3,True
zstd-3,zstd,211948032,66218495,3.200738,0.120764,0.165745,1673.7582,1219.5181,2,3,True
zstd-9,zstd,211948032,59183971,3.581173,0.508821,0.158456,397.2507,1275.6217,2,3,True
zstd-19,zstd,211948032,52849979,4.010371,16.783077,0.165005,12.0436,1224.9873,2,3,True
zstd-22-ultra,zstd,211948032,52289094,4.053389,84.063438,0.189425,2.4045,1067.0693,2,3,True
7z-lzma2-mx5,7-Zip,211948032,49608674,4.272399,17.926301,0.782876,11.2756,258.1882,2,3,True
7z-lzma2-mx9,7-Zip,211948032,48685411,4.353420,35.016921,1.206351,5.7723,167.5544,2,3,True
7z-bzip2-mx9,7-Zip,211948032,54219463,3.909077,7.230294,2.150888,27.9559,93.9749,2,3,True
7z-gzip-mx9,7-Zip,211948032,64711335,3.275284,87.895193,0.798684,2.2997,253.0779,2,3,True
winrar-m3,WinRAR,211948032,54235234,3.907940,1.939813,0.461836,104.2005,437.6651,2,3,True
winrar-m5-128m,WinRAR,211948032,53154779,3.987375,3.233641,0.454730,62.5083,444.5039,2,3,True
