codec,tool,input_bytes,archive_bytes,ratio,compress_seconds,decompress_seconds,compress_mib_s,decompress_mib_s,compress_repeats,decompress_repeats,verified
axiom-1,Axiom,211948032,65569488,3.232419,0.752812,0.217137,268.4992,930.8829,2,3,True
axiom-2,Axiom,211948032,59393486,3.568540,1.479829,0.223741,136.5897,903.4063,2,3,True
axiom-3,Axiom,211948032,58696271,3.610928,1.672040,0.222475,120.8879,908.5484,2,3,True
axiom-4,Axiom,211948032,57507873,3.685548,2.194029,0.227138,92.1270,889.8969,2,3,True
axiom-5,Axiom,211948032,57145644,3.708910,2.643924,0.224470,76.4505,900.4732,2,3,True
axiom-6,Axiom,211948032,56890041,3.725574,3.424013,0.225071,59.0329,898.0703,2,3,True
axiom-7,Axiom,211948032,55522903,3.817308,5.203621,0.226487,38.8440,892.4547,2,3,True
axiom-8,Axiom,211948032,52998103,3.999163,15.182268,0.233257,13.3135,866.5527,2,3,True
axiom-9,Axiom,211948032,52541522,4.033915,20.556449,0.249281,9.8329,810.8493,2,3,True
lz4-1,LZ4,211948032,100936288,2.099820,0.090313,0.094801,2238.0936,2132.1554,2,3,True
lz4-9-hc,LZ4,211948032,78001957,2.717214,0.384370,0.092619,525.8712,2182.3703,2,3,True
zstd-1,zstd,211948032,73292288,2.891819,0.063832,0.146843,3166.5890,1376.4963,2,3,True
zstd-3,zstd,211948032,66218495,3.200738,0.123974,0.164772,1630.4150,1226.7188,2,3,True
zstd-9,zstd,211948032,59183971,3.581173,0.534693,0.156587,378.0291,1290.8407,2,3,True
zstd-19,zstd,211948032,52849979,4.010371,16.640331,0.170700,12.1470,1184.1234,2,3,True
zstd-22-ultra,zstd,211948032,52289094,4.053389,94.889473,0.196025,2.1302,1031.1414,2,3,True
7z-lzma2-mx5,7-Zip,211948032,49608674,4.272399,17.746637,0.813570,11.3897,248.4474,2,3,True
7z-lzma2-mx9,7-Zip,211948032,48685411,4.353420,40.271641,1.258078,5.0191,160.6652,2,3,True
7z-bzip2-mx9,7-Zip,211948032,54219463,3.909077,7.386808,2.266073,27.3636,89.1981,2,3,True
7z-gzip-mx9,7-Zip,211948032,64711335,3.275284,89.259660,0.807140,2.2645,250.4266,2,3,True
winrar-m3,WinRAR,211948032,54235234,3.907940,2.176908,0.511481,92.8516,395.1847,2,3,True
winrar-m5-128m,WinRAR,211948032,53154779,3.987375,3.568688,0.504126,56.6397,400.9504,2,3,True
