"config","ratio","comp_MBps","decomp_MBps","roundtrip"
"level 1","2.68049796468449","335.456264254725","548.156104490006","True"
"level 2","3.04648884087893","122.078234889131","274.339810924596","True"
"level 3","3.0882474427381","90.2340781012969","651.256737691722","True"
"level 4","3.11905070319466","53.700880708378","679.525278854595","True"
"level 5","3.14028218324476","37.9681049140001","490.742595003857","True"
"level 6","3.1542887539386","28.8425522123003","652.273660283453","True"
"level 7","3.25293350356585","32.86294045973","659.548612611951","True"
"level 8","3.47974608571192","14.8546457275824","651.73429163674","True"
"level 9","3.51149290559042","14.2997632027128","671.581767585924","True"
"hash default (parallel)","3.14028218324476","39.3472949401263","526.062975028436","True"
"bt parallel w=8M","3.28729768778384","27.3910489720526","636.115778194755","True"
"bt single w=1M","3.22594714453353","7.87051759728464","244.181444323685","True"
"bt single w=8M","3.42515054478561","3.81825424436793","280.174036449826","True"
"bt single w=32M","3.54432499163451","2.59146586630628","266.028403461963","True"
"bt single w=128M (full)","3.57388268008178","2.32374870073864","249.255393532319","True"
