codec,tool,input_bytes,archive_bytes,ratio,compress_seconds,decompress_seconds,compress_mib_s,decompress_mib_s,compress_repeats,decompress_repeats,verified
axiom-1,Axiom,100000000,37306501,2.680498,0.258687,0.102974,368.6598,926.1339,2,3,True
axiom-2,Axiom,100000000,32824673,3.046489,0.750086,0.094538,127.1419,1008.7757,2,3,True
axiom-3,Axiom,100000000,32380825,3.088247,1.080550,0.094029,88.2582,1014.2321,2,3,True
axiom-4,Axiom,100000000,32061037,3.119051,1.800344,0.098711,52.9718,966.1306,2,3,True
axiom-5,Axiom,100000000,31844272,3.140282,2.386177,0.096015,39.9666,993.2597,2,3,True
axiom-6,Axiom,100000000,31702868,3.154289,3.378680,0.099076,28.2262,962.5684,2,3,True
axiom-7,Axiom,100000000,30741483,3.252934,3.107756,0.109986,30.6869,867.0902,2,3,True
axiom-8,Axiom,100000000,28737729,3.479746,7.082207,0.106927,13.4658,891.8971,2,3,True
axiom-9,Axiom,100000000,28477916,3.511493,6.887445,0.099717,13.8466,956.3780,2,3,True
lz4-1,LZ4,100000000,57285984,1.745628,0.059838,0.050237,1593.7550,1898.3656,2,3,True
lz4-9-hc,LZ4,100000000,42276858,2.365360,0.176466,0.050961,540.4301,1871.3734,2,3,True
zstd-1,zstd,100000000,40675947,2.458455,0.041940,0.080693,2273.9233,1181.8565,2,3,True
zstd-3,zstd,100000000,35445335,2.821246,0.074976,0.095674,1271.9677,996.7988,2,3,True
zstd-9,zstd,100000000,31129515,3.212385,0.470195,0.093738,202.8255,1017.3839,2,3,True
zstd-19,zstd,100000000,26944227,3.711370,15.578170,0.096112,6.1219,992.2583,2,3,True
zstd-22-ultra,zstd,100000000,25272471,3.956875,52.135021,0.116724,1.8292,817.0357,2,3,True
7z-lzma2-mx5,7-Zip,100000000,25399244,3.937125,31.468196,0.567222,3.0306,168.1307,2,3,True
7z-lzma2-mx9,7-Zip,100000000,24799463,4.032345,35.560861,0.586369,2.6818,162.6408,2,3,True
7z-bzip2-mx9,7-Zip,100000000,29006372,3.447518,3.728995,1.049452,25.5746,90.8736,2,3,True
7z-gzip-mx9,7-Zip,100000000,35103261,2.848738,39.294207,0.458362,2.4270,208.0612,2,3,True
winrar-m3,WinRAR,100000000,28649931,3.490410,1.330851,0.253418,71.6590,376.3239,2,3,True
winrar-m5-128m,WinRAR,100000000,26922404,3.714379,2.169988,0.266216,43.9484,358.2337,2,3,True
