config,input_bytes,archive_bytes,ratio,seconds
tar-axiom9-default,211948032,52541485,4.033918,25.570
tar-axiom9-64m,211948032,52467254,4.039625,82.779
tar-axiom9-32m,211948032,52371674,4.046997,73.671
tar-axiom9-16m,211948032,52485632,4.038211,45.961
