config,input_bytes,archive_bytes,ratio,seconds
tar-axiom9-default,211948032,51386561,4.124581,17.148
tar-axiom9-64m,211948032,51996126,4.076227,68.158
tar-axiom9-32m,211948032,51929793,4.081434,64.019
tar-axiom9-16m,211948032,51972846,4.078053,41.292
