config,input_bytes,archive_bytes,ratio,seconds
tar-axiom9-default,211948032,52112522,4.067123,22.575
tar-axiom9-64m,211948032,52040068,4.072785,75.492
tar-axiom9-32m,211948032,51993512,4.076432,70.142
tar-axiom9-16m,211948032,52092526,4.068684,43.943
