config,input_bytes,archive_bytes,ratio,seconds
tar-axiom9-default,211948032,51511761,4.114556,22.707
tar-axiom9-64m,211948032,51996126,4.076227,77.710
tar-axiom9-32m,211948032,51932052,4.081257,68.203
tar-axiom9-16m,211948032,52020106,4.074348,45.367
