config,input_bytes,archive_bytes,ratio,seconds
tar-axiom9-default,211948032,52459618,4.040213,109.922
tar-axiom9-64m,211948032,52467293,4.039622,148.291
tar-axiom9-32m,211948032,52371652,4.046999,90.276
tar-axiom9-16m,211948032,52485642,4.038210,65.495
