member,input_bytes,item3_bytes,item6_bytes,saved_bytes,item6_seconds,7z_mx9_bytes
mr,9970564,3016417,2225159,791258,11.590,2748257
x-ray,8474240,5119568,3774530,1345038,10.456,4479871
