config,input_bytes,archive_bytes,ratio,seconds
tar-axiom9-default,211948032,52178206,4.062003,19.987
tar-axiom9-64m,211948032,52226668,4.058234,76.835
tar-axiom9-32m,211948032,52107109,4.067545,70.652
tar-axiom9-16m,211948032,52164405,4.063078,41.689
